ลำดับ	นโยบาย	solution	
11	ลดจำนวนนายพล ตัดสิทธิพิเศษที่ไม่เป็นธรรม	การลดจำนวนนายพลเหลือ 400 นายสร้างความเป็นธรรมในกองทัพและระหว่างหน่วยงานรัฐ โดยการตัดสิทธิพิเศษต่าง ๆ ของนายทหารที่ได้มาจากการเอาตำแหน่งนายพลไปเทียบเท่าอธิบดี ซึ่งจะนำไปสู่การสร้างความเป็นธรรมระหว่างข้าราชการทหารและพลเรือน เกี่ยวกับสวัสดิการ (เช่น ค่าตอบแทนเหมาจ่ายแทนรถประจำตำแหน่ง)สร้างความเป็นธรรมระหว่างข้าราชการทหารและพลเรือน เกี่ยวกับสิทธิในการเข้ารับตำแหน่งสำคัญ ๆ (เช่น กรรมการรัฐวิสาหกิจ)	นโยบายที่ 11 ลดจำนวนนายพล ตัดสิทธิพิเศษที่ไม่เป็นธรรม solution การลดจำนวนนายพลเหลือ 400 นายสร้างความเป็นธรรมในกองทัพและระหว่างหน่วยงานรัฐ โดยการตัดสิทธิพิเศษต่าง ๆ ของนายทหารที่ได้มาจากการเอาตำแหน่งนายพลไปเทียบเท่าอธิบดี ซึ่งจะนำไปสู่การสร้างความเป็นธรรมระหว่างข้าราชการทหารและพลเรือน เกี่ยวกับสวัสดิการ (เช่น ค่าตอบแทนเหมาจ่ายแทนรถประจำตำแหน่ง)สร้างความเป็นธรรมระหว่างข้าราชการทหารและพลเรือน เกี่ยวกับสิทธิในการเข้ารับตำแหน่งสำคัญ ๆ (เช่น กรรมการรัฐวิสาหกิจ)
12	ยกเลิกบังคับเกณฑ์ทหาร	ยกเลิกการเกณฑ์ทหาร และเปลี่ยนเป็นระบบสมัครใจทั้งหมด โดยไม่กระทบต่อภารกิจในการรักษาความมั่นคง ผ่านการลดยอดพลทหารที่กองทัพเรียกขอที่ไม่จำเป็นต่อภารกิจความมั่นคง (เช่น ยอดผี พลทหารรับใช้ งานที่ไม่เกี่ยวกับความมั่นคง)สร้างแรงจูงใจในการสมัครเป็นทหาร (เช่น การสร้าง สวัสดิภาพ-สวัสดิการ-ความก้าวหน้าทางอาชีพที่ดี การกำจัดความรุนแรงในค่าย)	นโยบายที่ 12 ยกเลิกบังคับเกณฑ์ทหาร solution ยกเลิกการเกณฑ์ทหาร และเปลี่ยนเป็นระบบสมัครใจทั้งหมด โดยไม่กระทบต่อภารกิจในการรักษาความมั่นคง ผ่านการลดยอดพลทหารที่กองทัพเรียกขอที่ไม่จำเป็นต่อภารกิจความมั่นคง (เช่น ยอดผี พลทหารรับใช้ งานที่ไม่เกี่ยวกับความมั่นคง)สร้างแรงจูงใจในการสมัครเป็นทหาร (เช่น การสร้าง สวัสดิภาพ-สวัสดิการ-ความก้าวหน้าทางอาชีพที่ดี การกำจัดความรุนแรงในค่าย)
13	ปฏิรูปการศึกษาทหาร	เพิ่มเวลาการศึกษาในมหาวิทยาลัยพลเรือนให้กับนักเรียนทหารในกลุ่มวิชาที่เป็นวิชาการ เพื่อให้นักเรียนทหารได้เรียนร่วมกับพลเรือน โดยเฉพาะนักเรียนนายร้อย	นโยบายที่ 13 ปฏิรูปการศึกษาทหาร solution เพิ่มเวลาการศึกษาในมหาวิทยาลัยพลเรือนให้กับนักเรียนทหารในกลุ่มวิชาที่เป็นวิชาการ เพื่อให้นักเรียนทหารได้เรียนร่วมกับพลเรือน โดยเฉพาะนักเรียนนายร้อย
14	นำเข้ายุทโธปกรณ์ ต้องจ้างงาน-โอนถ่ายเทคโนโลยี (Defence Offset)	การจัดซื้อยุทโธปกรณ์ของกองทัพ ต้องมีเงื่อนไขบังคับให้ผู้ขายยุทโธปกรณ์ต้องถ่ายทอดเทคโนโลยีให้กับประเทศไทย เพื่อนำไปสู่การลงทุนในภาคอุตสาหกรรมของประเทศในระยะยาว และเป็นการเพิ่มการจ้างงานจากการลงทุนในอุตสาหกรรมดังกล่าว ส่งเสริมการผลิตในประเทศ ลดการนำเข้าจากต่างประเทศ 	นโยบายที่ 14 นำเข้ายุทโธปกรณ์ ต้องจ้างงาน-โอนถ่ายเทคโนโลยี (Defence Offset) solution การจัดซื้อยุทโธปกรณ์ของกองทัพ ต้องมีเงื่อนไขบังคับให้ผู้ขายยุทโธปกรณ์ต้องถ่ายทอดเทคโนโลยีให้กับประเทศไทย เพื่อนำไปสู่การลงทุนในภาคอุตสาหกรรมของประเทศในระยะยาว และเป็นการเพิ่มการจ้างงานจากการลงทุนในอุตสาหกรรมดังกล่าว ส่งเสริมการผลิตในประเทศ ลดการนำเข้าจากต่างประเทศ 
15	คืนที่ดินกองทัพให้ประชาชน	โอนการถือครองที่ดินกองทัพ (โดยเฉพาะค่ายทหารที่มีความจำเป็นต้องใช้พื้นที่น้อยลงจากการลดขนาดกองทัพ) กลับมาเป็นของกรมธนารักษ์ กระทรวงการคลัง เพื่อให้การจัดสรรที่ดินเป็นประโยชน์แก่ประชาชนส่วนใหญ่ (เช่น ที่พักอาศัยใจกลางเมือง ที่ดินเพื่อการเกษตร ตลาด สวนสาธารณะ)	นโยบายที่ 15 คืนที่ดินกองทัพให้ประชาชน solution โอนการถือครองที่ดินกองทัพ (โดยเฉพาะค่ายทหารที่มีความจำเป็นต้องใช้พื้นที่น้อยลงจากการลดขนาดกองทัพ) กลับมาเป็นของกรมธนารักษ์ กระทรวงการคลัง เพื่อให้การจัดสรรที่ดินเป็นประโยชน์แก่ประชาชนส่วนใหญ่ (เช่น ที่พักอาศัยใจกลางเมือง ที่ดินเพื่อการเกษตร ตลาด สวนสาธารณะ)
16	คืนธุรกิจกองทัพให้รัฐบาล	โอนถ่ายธุรกิจกองทัพทั้งหมดมาให้กระทรวงการคลังเป็นผู้กำกับดูแลแทน โดยสวัสดิการกำลังพลที่กองทัพอ้างว่านำมาจากการใช้ประโยชน์จากที่ราชพัสดุที่ผ่านมา ก็ให้ไปขอผ่านสำนักงบประมาณและสภาผู้แทนราษฎรตามกระบวนการงบประมาณเหมือนหน่วยงานรัฐอื่น ๆ	นโยบายที่ 16 คืนธุรกิจกองทัพให้รัฐบาล solution โอนถ่ายธุรกิจกองทัพทั้งหมดมาให้กระทรวงการคลังเป็นผู้กำกับดูแลแทน โดยสวัสดิการกำลังพลที่กองทัพอ้างว่านำมาจากการใช้ประโยชน์จากที่ราชพัสดุที่ผ่านมา ก็ให้ไปขอผ่านสำนักงบประมาณและสภาผู้แทนราษฎรตามกระบวนการงบประมาณเหมือนหน่วยงานรัฐอื่น ๆ
17	เพิ่มสวัสดิการทหารชั้นผู้น้อย ปลอดภัย-มั่นคง-มีอนาคต	สร้างความปลอดภัย จากการถูกละเมิดสิทธิมนุษยชน ผ่านกลไกการร้องทุกข์และร้องเรียนผู้บังคับบัญชาที่มีกระบวนการที่เป็นธรรมและปลอดภัยต่อตัวผู้ร้อง รวมถึงมีการแก้ พ.ร.บ.วินัยทหาร ที่ให้อำนาจล้นเกินแก่ผู้บังคับบัญชาในการธำรงวินัยสร้างความมั่นคง ผ่านรายได้ที่เหมาะสม สอดคล้องกับค่าครองชีพ โอนตรง-โอนครบ-ไม่มีหัก-ไม่มีทอน มีประกันชีวิตที่มีทุนให้กับครอบครัวในการประกอบอาชีพหากพิการหรือเสียชีวิต และมีทุนการศึกษาแก่ทายาทจนกว่าจะมีเงินได้กลับมาเลี้ยงครอบครัว รวมถึงการให้พลทหารมีสิทธิประกันสังคมสำหรับการรักษาพยาบาลเหมือนกับพนักงานราชการทั่วไปสร้างอนาคต ผ่านการทลายระบบเส้นสาย การเลื่อนขั้น-โยกย้ายต้องเป็น merit system ที่เน้นผลงานมากกว่าอายุงาน และในกรณีพลทหารหรือชั้นประทวน ต้องเพิ่มโอกาสในการเรียนโรงเรียนนายร้อย-นายสิบ และโอกาสไต่เต้าสู่นายทหารชั้นสัญญาบัตร	นโยบายที่ 17 เพิ่มสวัสดิการทหารชั้นผู้น้อย ปลอดภัย-มั่นคง-มีอนาคต solution สร้างความปลอดภัย จากการถูกละเมิดสิทธิมนุษยชน ผ่านกลไกการร้องทุกข์และร้องเรียนผู้บังคับบัญชาที่มีกระบวนการที่เป็นธรรมและปลอดภัยต่อตัวผู้ร้อง รวมถึงมีการแก้ พ.ร.บ.วินัยทหาร ที่ให้อำนาจล้นเกินแก่ผู้บังคับบัญชาในการธำรงวินัยสร้างความมั่นคง ผ่านรายได้ที่เหมาะสม สอดคล้องกับค่าครองชีพ โอนตรง-โอนครบ-ไม่มีหัก-ไม่มีทอน มีประกันชีวิตที่มีทุนให้กับครอบครัวในการประกอบอาชีพหากพิการหรือเสียชีวิต และมีทุนการศึกษาแก่ทายาทจนกว่าจะมีเงินได้กลับมาเลี้ยงครอบครัว รวมถึงการให้พลทหารมีสิทธิประกันสังคมสำหรับการรักษาพยาบาลเหมือนกับพนักงานราชการทั่วไปสร้างอนาคต ผ่านการทลายระบบเส้นสาย การเลื่อนขั้น-โยกย้ายต้องเป็น merit system ที่เน้นผลงานมากกว่าอายุงาน และในกรณีพลทหารหรือชั้นประทวน ต้องเพิ่มโอกาสในการเรียนโรงเรียนนายร้อย-นายสิบ และโอกาสไต่เต้าสู่นายทหารชั้นสัญญาบัตร
18	ยุบ กอ.รมน.	ยุบกองอำนวยการรักษาความมั่นคงภายในราชอาณาจักร (กอ.รมน.) เพื่อทำลายโครงสร้างรัฐซ้อนรัฐที่ขึ้นมายัดเยียดและขยายนิยามความมั่นคงแบบทหารมาใช้จัดการความมั่นคงภายใน	นโยบายที่ 18 ยุบ กอ.รมน. solution ยุบกองอำนวยการรักษาความมั่นคงภายในราชอาณาจักร (กอ.รมน.) เพื่อทำลายโครงสร้างรัฐซ้อนรัฐที่ขึ้นมายัดเยียดและขยายนิยามความมั่นคงแบบทหารมาใช้จัดการความมั่นคงภายใน
19	ยกเลิกการประกาศกฎอัยการศึกในชายแดนใต้	ยุติการใช้กฎอัยการศึกในจังหวัดชายแดนใต้ เพื่อเป็นจุดเริ่มต้นในการคลี่คลายสถานการณ์รุนแรง	นโยบายที่ 19 ยกเลิกการประกาศกฎอัยการศึกในชายแดนใต้ solution ยุติการใช้กฎอัยการศึกในจังหวัดชายแดนใต้ เพื่อเป็นจุดเริ่มต้นในการคลี่คลายสถานการณ์รุนแรง
20	แก้ไขกฎหมายความมั่นคงพิเศษ	ยกเครื่องกฎหมายความมั่นคงพิเศษให้สอดคล้องมาตรฐานสากล และเพื่อให้การบริหารราชการในวิกฤติ สามารถกระทำควบคู่กับการคุ้มครองสิทธิเสรีภาพได้ รวมถึงเสนอ กฎอัยการศึกฉบับใหม่ (แทนที่ พ.ร.บ. กฎอัยการศึก 2457) - เช่น ใช้เฉพาะสภาวะศึกสงคราม โดยที่อำนาจในการประกาศและการบริหารยังคงอยู่ที่รัฐบาลพลเรือนเสนอ พ.ร.บ. ฉุกเฉิน ฉบับใหม่ (แทนที่ พ.ร.ก. ฉุกเฉิน 2548) - เช่น ตัดอำนาจรัฐในการควบคุมการสื่อสารหรือคุมตัวได้เกิน 48 ชั่วใมง เปิดช่องให้ประชาชนฟ้องศาลปกครองได้หากรัฐกระทำผิด กำหนดให้การขยายเวลาการประกาศสถานการณ์ฉุกเฉินต้องผ่านการเห็นชอบของสภาฯยกเลิก พ.ร.บ. ความมั่นคง 2551	นโยบายที่ 20 แก้ไขกฎหมายความมั่นคงพิเศษ solution ยกเครื่องกฎหมายความมั่นคงพิเศษให้สอดคล้องมาตรฐานสากล และเพื่อให้การบริหารราชการในวิกฤติ สามารถกระทำควบคู่กับการคุ้มครองสิทธิเสรีภาพได้ รวมถึงเสนอ กฎอัยการศึกฉบับใหม่ (แทนที่ พ.ร.บ. กฎอัยการศึก 2457) - เช่น ใช้เฉพาะสภาวะศึกสงคราม โดยที่อำนาจในการประกาศและการบริหารยังคงอยู่ที่รัฐบาลพลเรือนเสนอ พ.ร.บ. ฉุกเฉิน ฉบับใหม่ (แทนที่ พ.ร.ก. ฉุกเฉิน 2548) - เช่น ตัดอำนาจรัฐในการควบคุมการสื่อสารหรือคุมตัวได้เกิน 48 ชั่วใมง เปิดช่องให้ประชาชนฟ้องศาลปกครองได้หากรัฐกระทำผิด กำหนดให้การขยายเวลาการประกาศสถานการณ์ฉุกเฉินต้องผ่านการเห็นชอบของสภาฯยกเลิก พ.ร.บ. ความมั่นคง 2551
